"sex","aage","AJBHRS","ancars","avote","aregion","ajbstat","ajbterm","ahhsize","atenure","afihhyr"
2,22,40,"1","2","14","2","2","3","6",10891.4208984375
1,22,35,"3","3","3","2","1","4","1",35235.2578125
1,44,40,"1","2","13","2","1","2","3",16051.4521484375
1,49,39,"2","3","3","2","1","4","2",23669.369140625
2,45,32,"2","1","18","2","1","4","2",39219.671875
1,33,37,"1","1","3","2","1","3","2",41025.828125
1,23,37,"1","1","4","2","1","2","2",35004.6171875
2,21,12,"1","3","18","6","1","3","2",21196.189453125
2,16,6,"3","11","3","6","2","7","2",22711.75390625
1,53,50,"3","1","4","2","1","3","2",41788.86328125
2,52,40,"3","3","4","2","1","4","1",19117.65625
1,31,38,"1","2","18","2","1","2","7",33489.5625
2,49,3,"2","1","1","2","2","3","3",20938.8828125
2,26,38,"2","2","11","2","1","4","2",7700.0810546875
2,26,32,"0","10","1","2","1","3","7",51101.734375
2,26,16,"0","2","6","2","1","4","3",8248.541015625
1,42,37,"2","2","4","2","1","4","2",20054.33203125
1,43,40,"2","1","5","2","1","2","2",11558.58984375
2,48,34,"1","1","3","2","1","4","1",27463.505859375
2,44,37,"1","1","3","2","1","2","2",39477.6796875
2,64,17,"1","1","4","2","1","2","1",8078.2475585938
1,39,35,"1","1","17","2","1","1","2",10051.732421875
2,16,36,"1","11","18","2","3","4","5",22843.5
2,41,17,"2","2","17","2","1","5","3",25102.12890625
2,37,32,"1","3","16","2","2","4","2",26091.998046875
2,23,39,"3","2","13","2","1","4","3",22582.43359375
2,39,30,"2","3","4","2","1","5","2",32409.6796875
1,16,9,"1","6","8","6","2","3","1",15065.154296875
1,32,35,"0","2","18","2","1","1","2",2268.927734375
2,43,40,"2","3","12","2","1","5","2",22891.62109375
1,56,38,"2","1","13","2","1","4","2",43324.796875
2,47,37,"1","2","17","2","1","1","2",22137.462890625
1,35,38,"1","6","1","2","1","2","2",23563.611328125
1,48,40,"1","10","2","2","2","1","7",20848.2265625
1,44,39,"2","3","2","2","1","2","2",35722.5078125
2,31,35,"1","2","2","2","1","3","2",24184.451171875
2,30,37,"1","1","16","2","1","1","2",10547.3232421875
2,30,28,"2","10","14","2","1","5","3",11961.2431640625
2,20,41,"1","3","4","2","1","2","2",13900.896484375
2,49,15,"1","1","18","2","1","3","2",48832.171875
2,52,20,"2","2","5","2","1","3","2",29442.099609375
2,48,25,"2","2","8","2","1","3","2",22800.537109375
2,36,37,"1","3","12","2","1","3","3",16901.84765625
2,39,40,"2","10","5","2","1","4","2",14317.3134765625
1,41,55,"1","3","6","2","1","6","6",10236.5390625
2,45,17,"2","10","4","2","1","5","6",28877.9765625
2,23,37,"1","3","18","2","3","3","3",21228.0234375
2,58,40,"0","2","1","2","1","2","2",17326.9609375
2,24,40,"1","6","5","2","1","3","3",14773.41015625
2,49,20,"2","1","4","2","1","4","5",16559.8828125
2,23,35,"1","1","17","2","1","2","2",19180.14453125
1,32,40,"3","2","10","2","1","4","2",31476.583984375
2,36,20,"1","2","3","2","1","5","2",19044.958984375
2,47,40,"2","1","3","2","1","4","2",17209.47265625
2,41,7,"2","10","9","2","1","2","2",28232.24609375
1,38,70,"1","1","4","1","1","3","2",23319.369140625
2,20,20,"0","2","5","2","1","3","3",5545.8232421875
2,26,32,"1","2","6","2","1","1","2",14601.83984375
2,37,40,"2","2","14","2","1","4","2",24151.74609375
2,40,40,"1","3","3","2","1","4","2",59889.7890625
1,35,40,"1","3","4","2","1","4","2",14089.9609375
2,36,37,"2","1","6","2","1","2","2",41882.8828125
1,55,39,"0","1","3","2","1","1","6",9653.5009765625
2,32,18,"1","10","3","2","1","4","2",24960.095703125
1,47,60,"1","2","9","2","1","4","5",30142.587890625
2,45,20,"1","3","3","2","1","2","1",20719.9453125
1,34,39,"2","2","14","2","1","4","2",22757.302734375
2,61,4,"1","2","18","2","1","2","1",41697.40234375
2,33,35,"1","2","11","2","1","4","4",14367.818359375
2,43,16,"2","1","3","2","2","3","2",12646.90625
2,65,4,"0","2","5","2","1","1","3",3555.3073730469
1,34,39,"2","2","3","2","1","3","4",26423.15625
2,26,40,"2","3","17","2","1","2","2",23295.841796875
1,46,40,"1","1","6","2","1","4","2",25128.46484375
2,45,10,"2","2","2","2","3","3","2",20703.55859375
2,44,5,"0","1","8","2","1","3","3",7570.994140625
1,35,40,"0","2","17","2","1","4","3",17126.916015625
1,31,33,"1","1","2","2","1","1","2",25365.73046875
2,30,39,"2","1","5","2","1","2","2",35446.0390625
2,28,24,"2","1","7","2","1","3","2",8989.615234375
2,40,12,"0","2","18","2","1","5","2",11731.896484375
2,51,28,"2","3","3","2","1","3","6",23973.353515625
1,25,40,"1","2","8","2","1","2","2",17230.03125
1,26,37,"2","2","14","2","1","2","7",20556.7421875
2,34,25,"1","1","9","2","1","4","2",25137.05859375
1,33,37,"0","1","6","2","1","4","2",17177.49609375
1,31,37,"2","1","8","2","1","3","2",23106.26953125
1,37,37,"0","2","1","2","1","4","3",17533.501953125
2,54,16,"2","2","6","2","1","4","1",25576.2890625
2,54,21,"2","1","3","2","1","2","2",12482.26171875
2,44,36,"0","1","6","2","1","1","1",8785.4921875
1,46,39,"0","2","3","2","1","5","2",30409.623046875
1,19,16,"1","1","15","2","1","5","2",40858.546875
2,50,39,"1","1","10","2","1","3","1",51430.46875
1,16,3,"2","11","3","6","2","4","1",20819.357421875
2,49,28,"0","10","10","2","1","2","2",3652.7900390625
1,48,39,"1","2","7","2","1","3","1",14291.412109375
2,53,37,"1","1","3","2","1","3","1",24040.5
1,22,38,"2","10","9","2","1","3","2",21012.58203125
2,58,41,"1","2","17","2","1","3","2",28623.646484375
2,60,30,"1","2","5","2","2","1","1",4504.291015625
2,52,28,"3","2","1","2","1","3","1",43624.453125
1,27,35,"0","2","18","2","1","2","7",17775.552734375
